date,ncase,ndeath,gender,area,country,type,death
27/02/2020,1,0,female,north,ireland,confirmed,covid
29/02/2020,1,0,male,east,ireland,confirmed,covid
03/03/2020,1,0,female,east,ireland,confirmed,covid
04/03/2020,2,0,female,west,ireland,confirmed,covid
04/03/2020,2,0,male,west,ireland,confirmed,covid
04/03/2020,2,0,unknown,north,ireland,confirmed,covid
05/03/2020,4,0,male,east,ireland,confirmed,covid
05/03/2020,2,0,female,west,ireland,confirmed,covid
05/03/2020,1,0,male,south,ireland,confirmed,covid
06/03/2020,1,0,male,east,ireland,confirmed,covid
06/03/2020,1,0,female,west,ireland,confirmed,covid
06/03/2020,2,0,female,south,ireland,confirmed,covid
06/03/2020,1,0,male,south,ireland,confirmed,covid
06/03/2020,1,0,unknown,north,ireland,confirmed,covid
07/03/2020,1,0,male,east,ireland,confirmed,covid
08/03/2020,1,0,female,east,ireland,confirmed,covid
08/03/2020,1,0,male,south,ireland,confirmed,covid
07/03/2020,3,0,unknown,north,ireland,confirmed,covid
09/03/2020,2,0,female,south,ireland,confirmed,covid
09/03/2020,1,0,female,west,ireland,confirmed,covid
08/03/2020,5,0,unknown,north,ireland,confirmed,covid
10/03/2020,4,0,male,south,ireland,confirmed,covid
10/03/2020,2,0,female,east,ireland,confirmed,covid
10/03/2020,1,0,male,west,ireland,confirmed,covid
10/03/2020,1,0,female,west,ireland,confirmed,covid
10/03/2020,1,0,female,south,ireland,confirmed,covid
10/03/2020,1,0,male,east,ireland,confirmed,covid
10/03/2020,4,0,unknown,north,ireland,confirmed,covid
11/03/2020,3,1,male,east,ireland,confirmed,covid
11/03/2020,5,0,male,south,ireland,confirmed,covid
11/03/2020,1,0,female,south,ireland,confirmed,covid
11/03/2020,2,0,unknown,north,ireland,confirmed,covid
11/03/2020,0,0,unknown,south,ireland,confirmed,covid
12/03/2020,27,0,unknown,unknown,ireland,confirmed,covid
12/03/2020,2,0,unknown,north,ireland,confirmed,covid
13/03/2020,20,0,unknown,unknown,ireland,confirmed,covid
13/03/2020,9,0,unknown,north,ireland,confirmed,covid
14/03/2020,5,0,unknown,north,ireland,confirmed,covid
14/03/2020,21,1,unknown,east,ireland,confirmed,covid
14/03/2020,13,0,unknown,south,ireland,confirmed,covid
14/03/2020,3,0,unknown,northwest,ireland,confirmed,covid
14/03/2020,2,0,unknown,west,ireland,confirmed,covid
15/03/2020,11,0,unknown,north,ireland,confirmed,covid
15/03/2020,25,0,unknown,east,ireland,confirmed,covid
15/03/2020,9,0,unknown,west,ireland,confirmed,covid
15/03/2020,6,0,unknown,south,ireland,confirmed,covid
16/03/2020,7,0,unknown,north,ireland,confirmed,covid
16/03/2020,41,0,unknown,east,ireland,confirmed,covid
16/03/2020,11,0,unknown,south,ireland,confirmed,covid
16/03/2020,2,0,unknown,northwest,ireland,confirmed,covid
17/03/2020,10,0,unknown,north,ireland,confirmed,covid
17/03/2020,48,0,unknown,east,ireland,confirmed,covid
17/03/2020,13,0,unknown,south,ireland,confirmed,covid
17/03/2020,5,0,unknown,northwest,ireland,confirmed,covid
17/03/2020,3,0,unknown,west,ireland,confirmed,covid
18/03/2020,6,0,unknown,north,ireland,confirmed,covid
18/03/2020,74,0,unknown,unknown,ireland,confirmed,covid
18/03/2020,9,1,unknown,north,ireland,confirmed,covid
19/03/2020,191,1,unknown,unknown,ireland,confirmed,covid
20/03/2020,126,0,unknown,unknown,ireland,confirmed,covid
